,House Age,Distance from nearest Metro station (km),Number of convenience stores,Number of bedrooms,House size (sqft),House price of unit area,Price
0,32.0,84.87882,10,1,575,37.9,21792.5
1,19.5,306.5947,9,2,1240,42.2,52328.0
2,13.3,561.9845,5,3,1060,47.3,50138.0
3,13.3,561.9845,5,2,875,54.8,47950.0
4,5.0,390.5684,5,1,491,43.1,21162.100000000002
5,7.1,2175.03,3,3,828,32.1,26578.800000000003
6,34.5,623.4731,7,3,1115,40.3,44934.5
7,20.3,287.6025,6,3,1316,46.7,61457.200000000004
8,31.7,5512.038,1,1,588,18.8,11054.4
9,17.9,1783.18,3,2,1075,22.1,23757.5
10,34.8,405.2134,1,1,466,41.4,19292.399999999998
11,6.3,90.45606,9,3,1423,58.1,82676.3
12,13.0,492.2313,5,3,1172,39.3,46059.6
13,20.4,2469.645,4,3,928,23.8,22086.4
14,13.2,1164.838,4,1,512,34.3,17561.6
15,35.7,579.2083,2,2,1322,50.5,66761.0
16,0.0,292.9978,6,3,1441,70.1,101014.09999999999
17,17.7,350.8515,1,1,568,37.4,21243.2
18,16.9,368.1363,8,3,1291,42.3,54609.299999999996
19,1.5,23.38284,7,2,1223,47.7,58337.100000000006
20,4.5,2275.877,3,2,1487,29.3,43569.1
21,10.5,279.1726,7,3,1496,51.6,77193.6
22,14.7,1360.139,1,3,1437,24.6,35350.200000000004
23,10.1,279.1726,7,2,1262,47.9,60449.799999999996
24,39.6,480.6977,4,1,443,38.8,17188.399999999998
25,29.3,1487.868,2,3,1011,27.0,27297.0
26,3.1,383.8624,5,3,1133,56.2,63674.600000000006
27,10.4,276.449,5,3,941,33.6,31617.600000000002
28,19.2,557.478,4,3,1130,47.0,53110.0
29,7.1,451.2438,5,1,476,57.1,27179.600000000002
30,25.9,4519.69,0,2,1024,22.1,22630.4
31,29.6,769.4034,7,2,1478,25.0,36950.0
32,37.9,488.5727,1,3,978,34.2,33447.600000000006
33,16.5,323.655,6,1,566,49.3,27903.8
34,15.4,205.367,7,3,1206,55.1,66450.6
35,13.9,4079.418,0,2,1249,27.3,34097.700000000004
36,14.7,1935.009,2,2,1131,22.9,25899.899999999998
37,12.0,1360.139,1,1,511,25.3,12928.300000000001
38,3.1,577.9615,6,1,599,47.7,28572.300000000003
39,16.2,289.3248,5,3,1236,46.2,57103.200000000004
40,13.6,4082.015,0,1,558,15.9,8872.2
41,16.8,4066.587,0,2,1333,18.2,24260.6
42,36.1,519.4617,5,3,975,34.7,33832.5
43,34.4,512.7871,6,1,447,34.1,15242.7
44,2.7,533.4762,4,3,1314,53.9,70824.59999999999
45,36.6,488.8193,8,1,572,38.3,21907.6
46,21.7,463.9623,9,1,557,42.0,23394.0
47,35.9,640.7391,3,3,867,61.5,53320.5
48,24.2,4605.749,0,1,470,13.4,6298.0
49,29.4,4510.359,1,2,1227,13.2,16196.4
50,21.7,512.5487,4,3,1077,44.2,47603.4
51,31.3,1758.406,1,2,1016,20.7,21031.2
52,32.1,1438.579,3,2,809,27.0,21843.0
53,13.3,492.2313,5,1,421,38.9,16376.9
54,16.1,289.3248,5,2,1193,51.7,61678.100000000006
55,31.7,1160.632,0,3,1036,13.7,14193.199999999999
56,33.6,371.2495,8,3,883,41.9,36997.7
57,3.5,56.47425,7,1,548,53.5,29318.0
58,30.3,4510.359,1,2,1167,22.6,26374.2
59,13.3,336.0532,5,2,1046,42.4,44350.4
60,11.0,1931.207,2,1,450,21.3,9585.0
61,5.3,259.6607,6,3,1083,63.2,68445.6
62,17.2,2175.877,3,3,1073,27.7,29722.1
63,2.6,533.4762,4,2,1309,55.0,71995.0
64,17.5,995.7554,0,2,862,25.3,21808.600000000002
65,40.1,123.7429,8,3,1351,44.3,59849.299999999996
66,1.0,193.5845,6,2,1144,50.7,58000.8
67,8.5,104.8101,5,2,1425,56.8,80940.0
68,30.4,464.223,6,3,1303,36.2,47168.600000000006
69,12.5,561.9845,5,1,581,42.0,24402.0
70,6.6,90.45606,9,3,927,59.0,54693.0
71,35.5,640.7391,3,1,533,40.8,21746.399999999998
72,32.5,424.5442,8,2,1392,36.3,50529.6
73,13.8,4082.015,0,3,1176,20.0,23520.0
74,6.8,379.5575,10,3,1084,54.4,58969.6
75,12.3,1360.139,1,1,492,29.5,14514.0
76,35.9,616.4004,3,2,1262,36.8,46441.6
77,20.5,2185.128,3,2,1308,25.6,33484.8
78,38.2,552.4371,2,1,459,29.8,13678.2
79,18.0,1414.837,1,2,958,26.5,25387.0
80,11.8,533.4762,4,1,488,40.3,19666.399999999998
81,30.8,377.7956,6,1,466,36.8,17148.8
82,13.2,150.9347,7,2,1339,48.1,64405.9
83,25.3,2707.392,3,3,1186,17.7,20992.2
84,15.1,383.2805,7,2,1154,43.7,50429.8
85,0.0,338.9679,9,2,1145,50.8,58166.0
86,1.8,1455.798,1,1,515,27.0,13905.0
87,16.9,4066.587,0,3,878,18.3,16067.400000000001
88,8.9,1406.43,0,2,915,48.0,43920.0
89,23.0,3947.945,0,1,471,25.3,11916.300000000001
90,0.0,274.0144,1,2,954,45.4,43311.6
91,9.1,1402.016,0,1,426,43.2,18403.2
92,20.6,2469.645,4,3,1316,21.8,28688.8
93,31.9,1146.329,0,1,536,16.1,8629.6
94,40.9,167.5989,5,2,984,41.0,40344.0
95,8.0,104.8101,5,3,1250,51.8,64750.0
96,6.4,90.45606,9,3,1158,59.5,68901.0
97,28.4,617.4424,3,3,828,34.6,28648.800000000003
98,16.4,289.3248,5,3,1323,51.0,67473.0
99,6.4,90.45606,9,1,514,62.2,31970.800000000003
100,17.5,964.7496,4,2,926,38.2,35373.200000000004
101,12.7,170.1289,1,3,879,32.9,28919.1
102,1.1,193.5845,6,3,1028,54.4,55923.2
103,0.0,208.3905,6,1,554,45.7,25317.800000000003
104,32.7,392.4459,6,1,471,30.5,14365.5
105,0.0,292.9978,6,1,570,71.0,40470.0
106,17.2,189.5181,8,3,871,47.1,41024.1
107,12.2,1360.139,1,3,913,26.6,24285.800000000003
108,31.4,592.5006,2,2,945,34.1,32224.5
109,4.0,2147.376,3,2,1044,28.4,29649.6
110,8.1,104.8101,5,2,847,51.6,43705.200000000004
111,33.3,196.6172,7,2,1136,39.4,44758.4
112,9.9,2102.427,3,1,414,23.1,9563.400000000001
113,14.8,393.2606,6,2,1365,7.6,10374.0
114,30.6,143.8383,8,3,1222,53.3,65132.6
115,20.6,737.9161,2,1,441,46.4,20462.399999999998
116,30.9,6396.283,1,1,495,12.2,6039.0
117,13.6,4197.349,0,3,1207,13.0,15691.0
118,25.3,1583.722,3,1,470,30.6,14382.0
119,16.6,289.3248,5,1,548,59.6,32660.8
120,13.3,492.2313,5,3,1224,31.3,38311.200000000004
121,13.6,492.2313,5,1,443,48.0,21264.0
122,31.5,414.9476,4,3,840,32.5,27300.0
123,0.0,185.4296,0,3,818,45.5,37219.0
124,9.9,279.1726,7,1,493,57.4,28298.2
125,1.1,193.5845,6,2,952,48.6,46267.200000000004
126,38.6,804.6897,4,1,472,62.9,29688.8
127,3.8,383.8624,5,2,1136,55.0,62480.0
128,41.3,124.9912,6,1,417,60.7,25311.9
129,38.5,216.8329,7,2,1284,41.0,52644.0
130,29.6,535.527,8,3,1190,37.5,44625.0
131,4.0,2147.376,3,1,565,30.7,17345.5
132,26.6,482.7581,5,3,1166,37.5,43725.0
133,18.0,373.3937,8,1,406,39.5,16037.0
134,33.4,186.9686,6,3,1246,42.2,52581.200000000004
135,18.9,1009.235,0,2,1147,20.8,23857.600000000002
136,11.4,390.5684,5,1,453,46.8,21200.399999999998
137,13.6,319.0708,6,1,429,47.4,20334.6
138,10.0,942.4664,0,3,1340,43.5,58290.0
139,12.9,492.2313,5,1,538,42.5,22865.0
140,16.2,289.3248,5,1,486,51.4,24980.399999999998
141,5.1,1559.827,3,2,1147,28.9,33148.299999999996
142,19.8,640.6071,5,1,447,37.5,16762.5
143,13.6,492.2313,5,2,1202,40.1,48200.200000000004
144,11.9,1360.139,1,3,1336,28.4,37942.4
145,2.1,451.2438,5,1,422,45.5,19201.0
146,0.0,185.4296,0,2,1356,52.2,70783.2
147,3.2,489.8821,8,1,518,43.2,22377.600000000002
148,16.4,3780.59,0,3,975,45.1,43972.5
149,34.9,179.4538,8,2,1411,39.7,56016.700000000004
150,35.8,170.7311,7,1,540,48.5,26190.0
151,4.9,387.7721,9,2,949,44.7,42420.3
152,12.0,1360.139,1,2,1098,28.9,31732.199999999997
153,6.5,376.1709,6,2,870,40.9,35583.0
154,16.9,4066.587,0,1,532,20.7,11012.4
155,13.8,4082.015,0,2,1292,15.6,20155.2
156,30.7,1264.73,0,3,1110,18.3,20313.0
